ip,city,latitude,longitude,target_latitude,target_longitude
91.122.77.189,St Petersburg,59.8983,30.2618,38.2507,-85.7472
91.217.62.219,Novosibirsk,54.9022,83.0335,38.2507,-85.7472
195.91.137.253,Moscow,55.7483,37.6171,38.2507,-85.7472
37.235.70.59,Nizhniy Novgorod,56.3327,44.0012,38.2507,-85.7472
91.218.100.11,Lys'va,58.1165,57.7914,38.2507,-85.7472
81.30.212.189,Ufa,54.7886,56.0485,38.2507,-85.7472
92.55.56.232,Izhevsk,56.8489,53.2316,38.2507,-85.7472
46.173.34.32,Tver,56.8651,35.8938,38.2507,-85.7472
194.135.230.86,Moscow,55.7483,37.6171,38.2507,-85.7472
62.113.51.133,None,55.7386,37.6068,38.2507,-85.7472
195.88.154.11,None,55.7386,37.6068,38.2507,-85.7472
84.54.226.50,None,55.7386,37.6068,38.2507,-85.7472
80.66.158.118,Moscow,55.7483,37.6171,38.2507,-85.7472
195.34.237.111,Gryazi,52.4775,39.8675,38.2507,-85.7472
109.195.102.86,Yekaterinburg,56.8456,60.6083,38.2507,-85.7472
62.122.101.59,Dmitrov,56.3511,37.509,38.2507,-85.7472
80.248.157.26,St Petersburg,59.8983,30.2618,38.2507,-85.7472
